"circuitId","fastest_time","raceId","year","name"
1,80.235,1100,2023,"Australian Grand Prix"
12,98.683,11,2009,"European Grand Prix"
17,92.238,105,2004,"Chinese Grand Prix"
2,94.08,983,2017,"Malaysian Grand Prix"
3,55.404,1046,2020,"Sakhir Grand Prix"
35,99.605,856,2011,"Korean Grand Prix"
5,84.77,84,2005,"Turkish Grand Prix"
68,87.249,857,2011,"Indian Grand Prix"
71,95.761,1025,2019,"Russian Grand Prix"
73,103.009,1013,2019,"Azerbaijan Grand Prix"
75,78.75,1042,2020,"Portuguese Grand Prix"
76,78.833,1039,2020,"Tuscan Grand Prix"
77,90.734,1072,2021,"Saudi Arabian Grand Prix"
79,89.708,1102,2023,"Miami Grand Prix"
