"raceId","slowest_lap_time","fastest_lap_time"
1,87706,185713
2,96641,178640
18,87418,209104
19,95366,170790
36,85235,122011
37,96701,136192
54,94803,676839
55,86045,230664
71,85683,120297
72,95483,159036
90,84125,1150467
91,94223,156658
108,87724,178163
109,96412,335793
124,88541,1174484
125,98049,344193
141,88214,170345
142,100962,257968
158,91481,381969
174,98543,166981
175,92112,169179
189,100267,504090
191,91649,213827
207,90585,421524
224,93421,214469
338,88358,1097260
339,97054,800555
841,88947,708170
842,100571,171696
860,89187,173810
861,100722,3138842
880,89274,132441
881,99199,221724
900,92478,841218
901,103066,212008
926,90945,166959
927,102062,166724
948,88997,1243269
963,96424,159738
969,86538,296773
983,94080,119607
989,85945,140530
1010,85580,148213
1076,80260,160036
1100,80235,2014652
